task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
C25001-0001-0010,0,4.9489,69.6668,5.9145,5.9211,67,0
C26001-0001-0009,0,1.7212,2.0109,4.4073,4.0995,71,1
C26001-0001-0010,0,4.5062,5.1321,7.3011,7.2640,47,0
C28001-0001-0009,0,1.4314,4.9675,3.1436,3.2008,56,1
C28001-0001-0010,0,4.0782,7.2960,5.1123,4.9773,49,0
C35001-0001-0000,0,5.2433,33.6266,5.4236,5.2893,60,0
C35001-0001-0002,0,11.6745,24.6516,2.1699,2.0451,71,0
C37001-0001-0000,0,9.9899,27.7749,6.0656,6.2457,46,0
C37001-0001-0002,0,8.1494,29.0384,3.8395,3.6478,76,0
C40001-0001-0000,0,8.0891,18.6543,5.7447,5.5819,50,0
C40001-0001-0001,0,8.1908,39.6077,3.5627,3.3126,40,0
C41001-0001-0000,0,3.3579,20.9563,3.7170,3.7147,40,0
C41001-0001-0001,0,2.6955,4.8954,4.6910,4.7574,58,1
C42001-0001-0000,0,11.0667,5.9356,5.7271,5.5499,58,0
C42001-0001-0001,0,1.4215,6.5156,2.3266,2.1270,36,1
C43001-0001-0000,0,10.5398,17.1554,5.8389,5.9490,36,0
C43001-0001-0001,0,4.4646,7.4322,6.3276,6.3192,61,0
C50001-0001-0000,0,13.2166,38.2956,5.5369,5.3765,37,0
C50001-0001-0001,0,6.4604,16.8547,6.4809,6.2056,39,0
C51001-0001-0000,0,3.1226,9.5610,4.2956,4.2155,40,0
C51001-0001-0002,0,3.6874,7.6690,3.8604,3.7673,51,0
C52001-0001-0000,0,12.8531,20.4503,4.3313,4.3857,51,0
C52001-0001-0002,0,6.4928,35.5803,6.1753,5.9383,61,0
C90001-0001-0000,0,3.2711,6.9915,5.0461,5.2527,49,0
C90001-0001-0001,0,6.3916,53.5135,3.1750,3.0624,41,0
C90001-0001-0002,0,2.3017,9.5586,4.1657,4.0010,51,1
C91001-0001-0000,0,2.4779,7.3241,3.5569,3.6384,35,1
C91001-0001-0001,0,1.0031,4.6167,2.9967,2.9362,56,1
C91001-0001-0002,0,1.9306,7.9693,3.4916,3.3173,45,1
O01000-0001-0000,0,0.7560,2.9809,3.1083,3.0086,46,1
O01000-0001-0001,0,1.9755,6.7646,4.5959,4.5964,48,1
O01000-0001-0002,0,0.7075,1.8330,3.9086,3.7920,70,1
O02001-0001-0005,0,1.4116,1.5154,4.0692,3.7623,51,1
O02001-0001-0006,0,2.2653,4.3849,2.8480,2.5906,61,1
O03001-0001-0007,0,3.0994,3.2667,3.5759,3.4179,107,0
O03001-0001-0008,0,1.3054,4.4601,2.6942,2.4712,109,1
O03002-0001-0007,0,3.9312,8.2567,5.5582,5.4369,91,0
O03002-0001-0008,0,5.5522,29.9045,4.0852,3.9891,90,0
O03003-0001-0007,0,3.1682,7.2675,3.7284,3.4738,97,0
O03003-0001-0008,0,2.9642,3.5894,3.9322,3.8833,81,1
O21001-0001-0009,0,5.8052,85.8443,5.4149,5.3552,71,0
O21001-0001-0010,0,3.3786,15.3144,5.4115,5.4395,58,0
O24001-0001-0009,0,11.7743,12.1098,5.2883,5.6823,71,0
O24001-0001-0010,0,11.3178,10.7873,1.8049,1.6073,58,0
O36001-0001-0000,0,1.9498,6.0291,4.1704,4.0676,60,1
