task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
C25001-0001-0010,0,5.7644,78.7628,6.8609,6.1197,67,0
C26001-0001-0009,0,1.8574,2.3424,5.0746,4.0168,71,1
C26001-0001-0010,0,4.5120,5.0313,7.1482,6.3488,47,0
C28001-0001-0009,0,1.6322,5.2347,3.9463,2.9626,56,1
C28001-0001-0010,0,4.0663,8.1500,5.3712,4.5413,49,0
C35001-0001-0000,0,5.2233,30.9559,5.3435,5.1177,60,0
C35001-0001-0002,0,11.3603,22.3420,6.8091,6.1189,71,0
C37001-0001-0000,0,5.7949,5.7533,5.5739,4.7714,46,0
C37001-0001-0002,0,8.2384,24.7527,4.7299,4.3879,76,0
C40001-0001-0000,0,2.3610,8.3269,3.8374,2.9492,50,1
C40001-0001-0001,0,2.8103,9.8162,5.9803,5.4463,40,1
C41001-0001-0000,0,1.9440,6.0281,4.0140,2.9774,40,1
C41001-0001-0001,0,2.4929,4.4782,4.5331,3.8980,58,1
C42001-0001-0000,0,10.9868,6.8525,4.4117,3.9053,58,0
C42001-0001-0001,0,6.6046,6.8808,4.5892,4.2808,36,0
C43001-0001-0000,0,11.2857,20.1393,5.9832,5.3555,36,0
C43001-0001-0001,0,4.2254,10.3836,5.8399,5.9291,61,0
C50001-0001-0000,0,12.3127,20.1278,6.9874,6.5942,37,0
C50001-0001-0001,0,6.3717,8.4402,4.6073,4.2771,39,0
C51001-0001-0000,0,1.5882,6.5556,3.8528,2.9140,40,1
C51001-0001-0002,0,3.3140,11.6573,4.2440,3.1877,51,0
C52001-0001-0000,0,11.1544,15.8592,5.8225,5.0944,51,0
C52001-0001-0002,0,6.4996,35.6930,5.8973,5.2549,61,0
C90001-0001-0000,0,2.3593,6.6919,5.1073,4.3746,49,1
C90001-0001-0001,0,5.6758,23.7291,5.5488,5.3467,41,0
C90001-0001-0002,0,5.8936,22.0680,7.1685,6.8595,51,0
C91001-0001-0000,0,1.7877,9.3726,3.9714,2.8382,35,1
C91001-0001-0001,0,0.7594,4.2324,3.6573,2.8206,56,1
C91001-0001-0002,0,1.2631,8.2057,4.2316,3.4382,45,1
O01000-0001-0000,0,1.5406,3.8682,4.3297,3.9904,46,1
O01000-0001-0001,0,6.7778,8.1504,3.9600,3.7638,48,0
O01000-0001-0002,0,0.6751,1.6886,4.0182,3.4311,70,1
O02001-0001-0005,0,2.8069,2.0744,5.1135,4.7465,51,1
O02001-0001-0006,0,0.6308,1.5771,2.8420,1.7185,61,1
O03001-0001-0007,0,2.4313,3.6809,4.0305,3.2208,107,1
O03001-0001-0008,0,4.0873,7.3392,4.0234,3.5626,109,0
O03002-0001-0007,0,1.7395,7.5525,6.2391,5.4291,91,1
O03002-0001-0008,0,1.9651,4.7930,4.9587,4.1253,90,1
O03003-0001-0007,0,1.3747,4.6741,3.5950,2.5493,97,1
O03003-0001-0008,0,9.3363,23.8569,5.9935,5.6795,81,0
O21001-0001-0009,0,5.1948,56.9508,5.2621,4.3817,71,0
O21001-0001-0010,0,2.7852,12.8340,5.0919,4.3235,58,1
O24001-0001-0009,0,11.4220,13.4837,4.5501,3.8261,71,0
O24001-0001-0010,0,11.3177,10.7853,3.1326,1.9353,58,0
O36001-0001-0000,0,1.1528,7.6407,3.9684,3.2308,60,1
O36001-0001-0002,0,11.0019,55.5353,7.6351,6.8474,75,0
O36002-0001-0000,0,5.7943,10.9023,5.9508,5.1584,41,0
O36002-0001-0002,0,14.0538,40.8226,5.9271,5.2456,76,0
O50001-0001-0000,0,10.8991,3.6879,4.9512,4.8054,78,0
O50001-0001-0002,0,6.3876,2.3153,5.9404,5.7895,91,0
O50002-0001-0001,0,5.3693,6.9195,5.5756,5.0453,68,0
O50002-0001-0002,0,5.5016,5.3124,3.7849,3.1571,51,0
O93001-0001-0000,0,18.4075,45.3777,5.7719,5.4073,40,0
O93001-0001-0001,0,12.4587,44.0223,5.0657,4.5573,31,0
O93001-0001-0002,0,15.1012,20.2883,2.3958,1.2598,78,0
S10001-0001-0000,0,6.7857,4.2314,4.8832,4.5075,48,0
S10001-0001-0001,0,1.3631,3.1212,4.6145,3.7760,81,1
S10001-0001-0002,0,4.9383,23.7903,8.1118,7.8298,69,0
S10002-0001-0000,0,1.7241,2.5154,4.4276,3.5400,58,1
S10002-0001-0001,0,6.2671,3.7373,5.8611,5.5140,46,0
S10002-0001-0002,0,1.1825,4.6361,3.8879,2.8370,75,1
S10003-0001-0001,0,8.0460,7.4791,6.2462,5.7240,58,0
S10003-0001-0002,0,4.7666,5.2640,5.2625,4.5190,81,0
S10003-0001-0003,0,7.7532,3.4359,5.9067,5.0091,61,0
S10004-0001-0001,0,1.2125,3.3256,4.0119,2.8562,48,1
S10004-0001-0002,0,7.7887,25.3823,5.4318,4.8302,81,0
S10004-0001-0003,0,8.0169,2.9234,4.8476,3.8103,51,0
S10005-0001-0001,0,1.8144,4.1424,4.4682,3.4890,75,1
S10005-0001-0002,0,7.6158,17.8071,4.6763,3.5678,120,0
S10005-0001-0003,0,5.8008,5.4610,3.9200,3.4496,31,0
S10006-0001-0001,0,2.5630,5.7394,3.7698,2.6499,51,1
S10006-0001-0002,0,0.8337,1.9838,3.1171,1.9393,61,1
S10006-0001-0003,0,4.6600,3.0944,4.5310,3.9027,40,0
S10007-0001-0001,0,1.6962,5.5367,3.4756,2.4561,61,1
S10007-0001-0002,0,0.4873,1.2235,3.0399,1.6418,79,1
S10007-0001-0003,0,1.5781,2.9503,4.4881,3.7572,46,1
S10008-0001-0001,0,0.8915,5.4103,3.6073,2.3847,57,1
S10008-0001-0002,0,1.9184,5.1910,4.7082,4.2417,51,1
S10008-0001-0003,0,5.9383,6.9399,4.3131,3.4602,41,0
S10009-0001-0001,0,1.7853,4.0758,4.2776,3.1354,68,1
S10009-0001-0002,0,4.0661,2.6398,6.7189,6.3623,76,0
S10009-0001-0003,0,4.1570,2.1920,4.3666,3.6916,39,0
S10010-0001-0001,0,1.5295,10.3181,3.7868,2.4826,57,1
S10010-0001-0002,0,1.4688,6.0940,3.3856,2.6197,85,1
S10010-0001-0003,0,6.3254,6.9900,4.7634,4.0021,35,0
S10011-0001-0000,0,4.9269,9.4028,4.2589,3.3480,51,0
S10011-0001-0001,0,1.8174,5.3732,3.8227,3.0253,55,1
S10011-0001-0002,0,7.1726,14.4718,6.1141,5.3050,91,0
S10011-0001-0003,0,2.6556,9.3619,4.2117,3.4931,51,1
S10012-0001-0001,0,1.9183,4.7673,6.6153,5.6822,60,1
S10012-0001-0002,0,9.0050,8.5962,4.9369,4.0595,86,0
S10012-0001-0003,0,4.8803,3.2771,5.2279,4.9254,45,0
S10013-0001-0001,0,1.8033,8.5050,4.6526,3.6116,40,1
S10013-0001-0002,0,2.4275,7.2529,4.0963,3.5334,61,1
S10013-0001-0003,0,4.0593,24.7406,5.4347,4.4509,37,0
S10014-0001-0001,0,1.8321,8.2747,3.9277,2.7410,47,1
S10014-0001-0002,0,1.3269,4.0256,3.6760,2.8697,71,1
S10014-0001-0003,0,6.8306,3.9144,4.0661,3.6735,41,0
S10015-0001-0001,0,6.0274,16.0454,4.0214,2.9450,60,0
S10015-0001-0002,0,1.5470,7.7533,3.6147,2.6761,100,1
S10015-0001-0003,0,3.1360,10.9254,5.8937,5.3913,51,0
S10016-0001-0001,0,1.2525,5.4282,3.6962,2.5611,50,1
S10016-0001-0002,0,0.9146,13.3690,4.4058,3.6388,65,1
S10016-0001-0003,0,1.9999,8.0801,4.8431,4.3500,45,1
S10017-0001-0001,0,1.3862,7.0370,3.7124,2.7184,60,1
S10017-0001-0002,0,0.9595,4.4816,3.3406,2.2523,65,1
S10017-0001-0003,0,1.7761,8.8949,4.2563,3.4900,45,1
S10018-0001-0000,0,7.1889,10.7030,4.6492,3.9651,46,0
S10018-0001-0001,0,2.0195,6.5407,4.0770,3.0506,56,1
S10018-0001-0002,0,0.9633,3.1435,3.3660,2.3931,91,1
S10018-0001-0003,0,5.7907,5.1071,5.0440,3.9401,36,0
S10019-0001-0001,0,4.9688,4.8527,5.1342,4.2933,46,0
S10019-0001-0002,0,3.3959,9.1233,4.3393,3.5669,91,0
S10019-0001-0003,0,2.6965,9.2437,4.9000,4.1799,51,1
S10020-0001-0001,0,3.8434,7.2506,3.6848,2.5314,51,0
S10020-0001-0002,0,5.2854,12.5560,5.1259,4.4257,86,0
S10020-0001-0003,0,3.2065,10.2626,4.3691,3.6067,41,0
S10021-0001-0000,0,4.6449,5.1043,4.9450,4.0997,40,0
S10021-0001-0001,0,1.3867,3.3211,4.4539,3.4649,68,1
S10021-0001-0002,0,1.4511,4.7306,3.7709,2.9268,66,1
S10021-0001-0003,0,6.5301,13.9064,4.2992,3.2890,49,0
S10022-0001-0001,0,1.6534,7.6128,3.6939,2.6373,57,1
S10022-0001-0002,0,6.5041,6.3936,5.6900,5.0051,109,0
S10022-0001-0003,0,1.6656,8.9448,3.5411,2.5697,45,1
S10023-0001-0001,0,4.2742,18.2488,4.9455,4.1042,56,0
S10023-0001-0002,0,5.1753,5.4858,6.4408,5.8097,79,0
S10023-0001-0003,0,2.2252,9.7892,3.5577,2.9360,51,1
S10024-0001-0001,0,2.2410,8.1743,4.3925,3.4636,68,1
S10024-0001-0002,0,0.8194,4.0777,3.0649,2.1217,101,1
S10024-0001-0003,0,2.2757,9.2994,3.6665,2.8428,51,1
S15004-0001-0007,0,1.1428,6.8343,3.5904,2.5254,81,1
S15004-0001-0008,0,4.7443,11.5039,5.3387,4.6263,90,0
S16001-0001-0005,0,1.9198,6.5435,3.8700,3.0929,69,1
S16001-0001-0006,0,8.1054,9.5462,4.0188,3.6416,61,0
S16002-0001-0005,0,1.7825,8.3779,3.7264,2.8042,69,1
S16002-0001-0006,0,1.0792,7.8091,3.4422,2.7524,67,1
S16005-0001-0002,0,9.4839,9.7113,6.4267,5.9390,61,0
S16005-0001-0004,0,3.4183,18.3477,4.6511,4.2195,78,0
S20001-0001-0009,0,8.2226,45.4499,6.6542,6.0278,85,0
S20001-0001-0010,0,1.5034,7.6479,4.3089,3.2006,41,1
S20005-0001-0009,0,5.3057,40.8355,5.0921,3.8674,60,0
S20005-0001-0010,0,1.8947,6.3232,4.0046,2.8315,55,1
S20021-0001-0009,0,2.3726,6.6024,4.2348,3.2622,71,1
S20021-0001-0010,0,3.9742,15.3185,4.1082,2.9638,55,0
S20022-0001-0009,0,2.0338,11.7246,3.7436,2.4466,51,1
S20022-0001-0010,0,2.7235,15.4349,4.2693,3.4321,40,1
Y03006-0001-0007,0,3.5002,5.9516,4.6201,3.8413,51,0
Y03021-0001-0000,0,1.5774,3.9152,3.4752,2.7309,71,1
Y03021-0001-0002,0,9.1832,22.1204,4.8099,4.3336,55,0
Y27035-0001-0000,0,1.2133,8.1408,5.5720,4.6830,41,1
Y27035-0001-0002,0,3.5824,4.2187,6.2782,6.0675,55,0
Y29040-0001-0000,0,13.1080,68.7791,6.5697,5.5068,38,0
Y29040-0001-0002,0,3.1379,12.8517,4.7801,4.1301,71,0
Y35037-0001-0000,0,2.6644,7.1093,5.7032,4.9545,45,1
Y35037-0001-0002,0,10.5381,23.0029,4.3490,3.2970,81,0
MEAN,,4.1552,10.6884,4.7878,4.0887,15951,
STD,,3.3910,12.7759,1.1562,1.3127,,
SR,,50.4%,92.1%,98.8%,91.7%,242,49.6%
