task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
C25001-0001-0010,0,3.9664,51.3955,4.8003,4.7064,67,0
C26001-0001-0009,0,1.7846,3.8839,3.2868,3.1340,71,1
C26001-0001-0010,0,4.8636,6.8121,6.7056,6.7255,47,0
C28001-0001-0009,0,1.9739,6.0251,4.2747,4.1363,56,1
C28001-0001-0010,0,1.6851,10.0048,3.8708,3.9369,49,1
C35001-0001-0000,0,1.7179,7.7199,4.4513,4.1250,60,1
C35001-0001-0002,0,11.6745,24.6619,1.3055,1.1439,71,0
C37001-0001-0000,0,5.2942,10.4047,5.5013,5.4017,46,0
C37001-0001-0002,0,9.9032,28.2651,3.6380,3.7043,76,0
C40001-0001-0000,0,2.6898,13.8197,3.8808,3.8725,50,1
C40001-0001-0001,0,7.8129,16.3976,4.4244,4.2786,40,0
C41001-0001-0000,0,1.9243,12.8518,2.5771,2.1980,40,1
C41001-0001-0001,0,6.7099,13.1846,4.4931,4.4797,58,0
C42001-0001-0000,0,11.1602,6.3913,2.4798,2.1866,58,0
C42001-0001-0001,0,1.2501,7.4429,2.4051,2.2808,36,1
C43001-0001-0000,0,12.6422,17.1803,4.4558,4.4520,36,0
C43001-0001-0001,0,4.7668,4.3649,3.2808,3.3443,61,0
C50001-0001-0000,0,12.8721,30.4675,3.6336,3.6926,37,0
C50001-0001-0001,0,1.4097,6.2029,2.5622,2.5668,39,1
C51001-0001-0000,0,3.2136,8.3160,5.1085,5.0657,40,0
C51001-0001-0002,0,3.4451,20.3549,3.5655,3.3484,51,0
C52001-0001-0000,0,12.6427,23.4990,4.3704,4.1697,51,0
C52001-0001-0002,0,7.5388,66.8868,4.9036,4.8209,61,0
C90001-0001-0000,0,2.6436,6.5539,4.1526,4.1708,49,1
C90001-0001-0001,0,2.0534,14.9881,3.1435,3.1615,41,1
C90001-0001-0002,0,1.2548,7.5950,2.7840,2.6742,51,1
C91001-0001-0000,0,1.5083,7.4202,2.8340,2.4795,35,1
C91001-0001-0001,0,0.8097,7.1019,2.6311,2.6369,56,1
C91001-0001-0002,0,2.6787,5.1171,3.8982,3.7044,45,1
O01000-0001-0000,0,1.2784,4.5922,3.3301,3.1273,46,1
O01000-0001-0001,0,1.0812,4.9333,3.1127,2.9895,48,1
O01000-0001-0002,0,0.6258,3.0146,2.8064,2.6518,70,1
O02001-0001-0005,0,1.5606,2.7332,3.4932,3.4333,51,1
O02001-0001-0006,0,2.3443,3.2304,3.1638,3.1748,61,1
O03001-0001-0007,0,5.8834,14.8453,3.8165,3.8172,107,0
O03001-0001-0008,0,1.2722,5.0539,2.8588,2.5846,109,1
O03002-0001-0007,0,2.5847,6.1447,3.6720,3.4613,91,1
O03002-0001-0008,0,2.2694,9.7352,3.4993,3.4836,90,1
O03003-0001-0007,0,0.8938,5.1014,2.3252,2.1583,97,1
O03003-0001-0008,0,1.0912,3.7430,2.6253,2.5327,81,1
O21001-0001-0009,0,5.6948,66.9482,4.9020,4.9298,71,0
O21001-0001-0010,0,2.8264,16.4178,4.1078,4.0700,58,1
O24001-0001-0009,0,11.3545,10.4259,8.6107,8.8180,71,0
O24001-0001-0010,0,11.3178,10.7873,1.6089,1.3219,58,0
O36001-0001-0000,0,5.0538,38.4112,4.5143,4.4120,60,0
O36001-0001-0002,0,10.9696,51.5629,5.5875,5.4223,75,0
O36002-0001-0000,0,5.9071,30.4912,5.1012,5.0327,41,0
O36002-0001-0002,0,13.2930,80.2344,4.9581,4.8562,76,0
O50001-0001-0000,0,10.9428,3.8096,2.4470,2.4401,78,0
O50001-0001-0002,0,6.4248,2.1489,4.0132,4.0950,91,0
O50002-0001-0001,0,5.3619,9.2843,3.1112,3.1017,68,0
O50002-0001-0002,0,5.3667,3.8240,3.7758,3.5576,51,0
O93001-0001-0000,0,17.7030,47.6075,2.3387,2.2853,40,0
O93001-0001-0001,0,5.9977,18.0875,5.1032,5.1318,31,0
O93001-0001-0002,0,15.1012,20.2884,1.5330,1.3276,78,0
S10001-0001-0000,0,6.6282,10.2878,2.9429,2.7493,48,0
S10001-0001-0001,0,1.1420,4.9375,2.3724,2.0651,81,1
S10001-0001-0002,0,3.9665,32.8027,3.0138,3.1274,69,0
S10002-0001-0000,0,9.4199,9.2410,1.7957,1.6000,58,0
S10002-0001-0001,0,1.3941,3.8912,2.8946,2.8213,46,1
S10002-0001-0002,0,1.5058,6.5163,2.8501,2.7417,75,1
S10003-0001-0001,0,1.9453,4.1767,2.8153,2.7531,58,1
S10003-0001-0002,0,6.0991,4.7019,4.1095,4.0273,81,0
S10003-0001-0003,0,0.7931,3.8566,2.6690,2.3494,61,1
S10004-0001-0001,0,1.5283,6.0851,2.6062,2.3024,48,1
S10004-0001-0002,0,1.7178,7.2500,3.3875,3.1781,81,1
S10004-0001-0003,0,8.0234,4.6433,2.9625,2.7142,51,0
S10005-0001-0001,0,0.8146,7.5797,2.8806,2.5525,75,1
S10005-0001-0002,0,1.3223,5.0789,3.1162,3.0255,120,1
S10005-0001-0003,0,6.3379,8.3471,3.3847,3.5947,31,0
S10006-0001-0001,0,5.6095,16.6151,2.6994,2.4537,51,0
S10006-0001-0002,0,1.1438,6.5818,2.2246,2.1276,61,1
S10006-0001-0003,0,4.9103,6.2915,3.4888,3.1259,40,0
S10007-0001-0001,0,1.7515,5.5388,2.3124,2.2734,61,1
S10007-0001-0002,0,1.2545,5.5859,2.4130,2.0482,79,1
S10007-0001-0003,0,6.4980,7.8683,4.6539,4.5027,46,0
S10008-0001-0001,0,2.3615,8.0512,2.7181,2.5254,57,1
S10008-0001-0002,0,1.0916,4.8643,2.5871,2.5208,51,1
S10008-0001-0003,0,5.4906,10.4066,2.7641,2.6713,41,0
S10009-0001-0001,0,2.2985,12.7854,2.3076,2.1885,68,1
S10009-0001-0002,0,4.3888,10.7837,5.4686,5.5110,76,0
S10009-0001-0003,0,1.8177,4.6879,3.2096,3.0761,39,1
S10010-0001-0001,0,2.6392,15.5215,2.2170,2.2143,57,1
S10010-0001-0002,0,2.7428,8.6103,3.5161,3.6187,85,1
S10010-0001-0003,0,6.1248,18.3313,2.6499,2.5580,35,0
S10011-0001-0000,0,6.8209,11.1179,3.5397,3.5878,51,0
S10011-0001-0001,0,2.4783,11.6273,3.0166,2.8582,55,1
S10011-0001-0002,0,7.1782,37.7331,5.0999,5.1577,91,0
S10011-0001-0003,0,3.0509,11.6619,3.2362,3.3687,51,0
S10012-0001-0001,0,1.9678,10.4805,4.5347,4.4802,60,1
S10012-0001-0002,0,9.0647,34.8326,5.3638,5.3196,86,0
S10012-0001-0003,0,4.2815,8.6643,5.2807,5.4720,45,0
S10013-0001-0001,0,4.4505,5.4740,2.3787,2.1981,40,0
S10013-0001-0002,0,5.6048,20.5462,2.9457,2.8309,61,0
S10013-0001-0003,0,4.6387,22.4432,4.9821,4.9356,37,0
S10014-0001-0001,0,3.9814,16.4006,2.1140,2.0690,47,0
S10014-0001-0002,0,9.5830,32.3637,3.3924,3.3621,71,0
S10014-0001-0003,0,2.8613,4.6780,4.4819,4.1776,41,1
S10015-0001-0001,0,1.2731,10.1207,2.5389,2.4628,60,1
S10015-0001-0002,0,1.9569,6.2562,2.1687,2.2111,100,1
S10015-0001-0003,0,2.5774,14.9960,4.1880,4.2283,51,1
S10016-0001-0001,0,0.9322,4.1208,2.2782,1.9709,50,1
S10016-0001-0002,0,3.1318,11.5621,3.9037,3.9538,65,0
S10016-0001-0003,0,4.2542,15.3424,4.9537,4.9859,45,0
S10017-0001-0001,0,8.5214,28.9884,3.8935,3.6408,60,0
S10017-0001-0002,0,1.7016,7.0827,2.2920,2.2653,65,1
S10017-0001-0003,0,6.3242,13.1088,4.5585,4.4043,45,0
S10018-0001-0000,0,2.2001,7.1596,3.3300,3.0690,46,1
S10018-0001-0001,0,3.2867,11.9851,3.3670,3.4312,56,0
S10018-0001-0002,0,7.7242,18.3990,2.7524,2.7601,91,0
S10018-0001-0003,0,5.7905,5.0974,3.5646,3.1241,36,0
S10019-0001-0001,0,1.3069,3.6907,2.6866,2.4617,46,1
S10019-0001-0002,0,0.5761,1.9793,1.7625,1.6502,91,1
S10019-0001-0003,0,2.1729,10.3512,3.1565,3.0728,51,1
S10020-0001-0001,0,2.9174,11.9848,2.9619,2.7820,51,1
S10020-0001-0002,0,1.8877,7.4883,2.6165,2.7253,86,1
S10020-0001-0003,0,3.2031,12.5041,3.8815,3.7744,41,0
S10021-0001-0000,0,4.9177,4.2275,3.4987,3.4085,40,0
S10021-0001-0001,0,1.3467,5.1544,2.4502,2.3162,68,1
S10021-0001-0002,0,2.7864,10.1268,3.6048,3.6258,66,1
S10021-0001-0003,0,3.4249,30.9018,3.6689,3.7963,49,0
S10022-0001-0001,0,1.9848,10.5728,2.6315,2.4524,57,1
S10022-0001-0002,0,6.3051,8.1985,3.9450,4.1116,109,0
S10022-0001-0003,0,5.4741,19.9223,3.3394,3.1562,45,0
S10023-0001-0001,0,5.3445,40.7173,3.1146,2.9509,56,0
S10023-0001-0002,0,6.4279,16.0415,4.4093,4.4109,79,0
S10023-0001-0003,0,5.4037,10.4090,3.3993,3.3938,51,0
S10024-0001-0001,0,3.7413,8.5503,3.3300,3.2170,68,0
S10024-0001-0002,0,1.6108,9.3572,2.4121,2.2935,101,1
S10024-0001-0003,0,4.1680,15.2312,4.0938,3.9698,51,0
S15004-0001-0007,0,1.4728,8.3948,2.4761,2.1153,81,1
S15004-0001-0008,0,5.5421,15.7608,3.2727,3.3280,90,0
S16001-0001-0005,0,4.8301,13.5371,3.4647,3.4370,69,0
S16001-0001-0006,0,2.5586,9.5872,2.9488,2.9212,61,1
S16002-0001-0005,0,5.5259,25.0320,6.1811,6.1369,69,0
S16002-0001-0006,0,1.4441,9.3602,3.6618,3.6596,67,1
S16005-0001-0002,0,8.5338,18.7914,3.5637,3.3022,61,0
S16005-0001-0004,0,1.3634,8.2976,3.1792,2.9662,78,1
S20001-0001-0009,0,8.0757,57.6776,2.9478,2.8497,85,0
S20001-0001-0010,0,7.0021,15.0236,2.9980,2.7904,41,0
S20005-0001-0009,0,5.3461,41.1832,3.1956,3.2202,60,0
S20005-0001-0010,0,6.2473,25.1362,4.1701,4.0775,55,0
S20021-0001-0009,0,1.7524,14.6222,3.4542,3.3278,71,1
S20021-0001-0010,0,4.4663,19.3980,3.7464,3.6629,55,0
S20022-0001-0009,0,1.9729,9.1056,3.1566,3.0188,51,1
S20022-0001-0010,0,4.8063,34.2845,4.5887,4.5120,40,0
Y03006-0001-0007,0,4.8651,23.1946,4.1786,4.1242,51,0
Y03021-0001-0000,0,1.8766,8.6095,2.8916,2.7711,71,1
Y03021-0001-0002,0,9.6477,20.8981,3.7956,3.5210,55,0
Y27035-0001-0000,0,8.4634,14.5895,4.1389,4.0202,41,0
Y27035-0001-0002,0,1.5201,8.5220,3.8459,3.8156,55,1
Y29040-0001-0000,0,8.4238,25.7874,5.9565,5.7406,38,0
Y29040-0001-0002,0,0.9876,5.0972,2.4658,2.4249,71,1
Y35037-0001-0000,0,3.6946,30.0250,2.2901,2.2058,45,0
Y35037-0001-0002,0,10.5383,22.9907,1.5875,1.5529,81,0
MEAN,,4.1793,13.6807,3.5273,3.4475,15951,
STD,,3.4093,15.6298,1.0437,1.0733,,
SR,,50.0%,88.4%,99.6%,97.9%,242,50.0%
